"","brand","fuel","HP","mpg","bodystyle","engine.size","n.cylinders"
"1","alfa-romeo","gas",111,20.9999435485388,"convertible",2.1303,4
"2","alfa-romeo","gas",111,20.9999435485388,"convertible",2.1303,4
"3","alfa-romeo","gas",154,19.0006209660727,"hatchback",2.4908,6
"4","audi","gas",102,23.9989274222381,"sedan",1.7862,4
"5","audi","gas",115,17.9986075306249,"sedan",2.2286,5
"6","audi","gas",110,19.0006209660727,"sedan",2.2286,5
"7","audi","gas",110,19.0006209660727,"sedan",2.2286,5
"8","audi","gas",110,19.0006209660727,"wagon",2.2286,5
"9","audi","gas",140,16.9989462393918,"sedan",2.1467,5
"10","audi","gas",160,15.9992849481587,"hatchback",2.1467,5
"11","bmw","gas",101,22.999266131005,"sedan",1.7698,4
"12","bmw","gas",101,22.999266131005,"sedan",1.7698,4
"13","bmw","gas",121,20.9999435485388,"sedan",2.6875,6
"14","bmw","gas",121,20.9999435485388,"sedan",2.6875,6
"15","bmw","gas",121,20.0002822573058,"sedan",2.6875,6
"16","bmw","gas",182,15.9992849481587,"sedan",3.4249,6
"17","bmw","gas",182,15.9992849481587,"sedan",3.4249,6
"18","bmw","gas",182,14.9996236569257,"sedan",3.4249,6
"19","chevrolet","gas",48,46.9981935532431,"hatchback",0.9996,3
"20","chevrolet","gas",70,37.9988897879307,"hatchback",1.4748,4
"21","chevrolet","gas",70,37.9988897879307,"sedan",1.4748,4
"22","dodge","gas",68,36.9992284966976,"hatchback",1.4748,4
"23","dodge","gas",68,30.9989086050844,"hatchback",1.4748,4
"24","dodge","gas",102,23.9989274222381,"hatchback",1.6059,4
"25","dodge","gas",68,30.9989086050844,"hatchback",1.4748,4
"26","dodge","gas",68,30.9989086050844,"sedan",1.4748,4
"27","dodge","gas",68,30.9989086050844,"sedan",1.4748,4
"28","dodge","gas",102,23.9989274222381,"sedan",1.6059,4
"29","dodge","gas",88,23.9989274222381,"wagon",1.9992,4
"30","dodge","gas",145,19.0006209660727,"hatchback",2.5564,4
"31","honda","gas",58,48.999868279924,"hatchback",1.5076,4
"32","honda","gas",76,30.9989086050844,"hatchback",1.5076,4
"33","honda","gas",60,37.9988897879307,"hatchback",1.2946,4
"34","honda","gas",76,29.9992473138513,"hatchback",1.5076,4
"35","honda","gas",76,29.9992473138513,"hatchback",1.5076,4
"36","honda","gas",76,29.9992473138513,"sedan",1.5076,4
"37","honda","gas",76,29.9992473138513,"wagon",1.5076,4
"38","honda","gas",86,27.000263440152,"hatchback",1.8026,4
"39","honda","gas",86,27.000263440152,"hatchback",1.8026,4
"40","honda","gas",86,27.000263440152,"sedan",1.8026,4
"41","honda","gas",86,27.000263440152,"sedan",1.8026,4
"42","honda","gas",101,23.9989274222381,"sedan",1.8026,4
"43","honda","gas",100,24.9985887134712,"sedan",1.8026,4
"44","isuzu","gas",78,23.9989274222381,"sedan",1.819,4
"45","isuzu","gas",70,37.9988897879307,"sedan",1.4748,4
"46","isuzu","gas",70,37.9988897879307,"sedan",1.4748,4
"47","isuzu","gas",90,23.9989274222381,"hatchback",1.9501,4
"48","jaguar","gas",176,14.9996236569257,"sedan",4.2279,6
"49","jaguar","gas",176,14.9996236569257,"sedan",4.2279,6
"50","jaguar","gas",262,13.0003010744595,"sedan",5.3422,12
"51","mazda","gas",68,29.9992473138513,"hatchback",1.4912,4
"52","mazda","gas",68,30.9989086050844,"hatchback",1.4912,4
"53","mazda","gas",68,30.9989086050844,"hatchback",1.4912,4
"54","mazda","gas",68,30.9989086050844,"sedan",1.4912,4
"55","mazda","gas",68,30.9989086050844,"sedan",1.4912,4
"56","mazda","gas",101,16.9989462393918,"hatchback",1.1471,2
"57","mazda","gas",101,16.9989462393918,"hatchback",1.1471,2
"58","mazda","gas",101,16.9989462393918,"hatchback",1.1471,2
"59","mazda","gas",135,15.9992849481587,"hatchback",1.311,2
"60","mazda","gas",84,25.9982500047043,"hatchback",1.9992,4
"61","mazda","gas",84,25.9982500047043,"sedan",1.9992,4
"62","mazda","gas",84,25.9982500047043,"hatchback",1.9992,4
"63","mazda","gas",84,25.9982500047043,"sedan",1.9992,4
"64","mazda","diesel",64,35.9995672054645,"sedan",1.9992,4
"65","mazda","gas",84,25.9982500047043,"hatchback",1.9992,4
"66","mazda","gas",120,19.0006209660727,"sedan",2.2942,4
"67","mazda","diesel",72,30.9989086050844,"sedan",2.1959,4
"68","mercedes-gas","diesel",123,21.9996048397719,"sedan",2.9988,5
"69","mercedes-gas","diesel",123,21.9996048397719,"wagon",2.9988,5
"70","mercedes-gas","diesel",123,21.9996048397719,"hardtop",2.9988,5
"71","mercedes-gas","diesel",123,21.9996048397719,"sedan",2.9988,5
"72","mercedes-gas","gas",155,15.9992849481587,"sedan",3.8346,8
"73","mercedes-gas","gas",155,15.9992849481587,"convertible",3.8346,8
"74","mercedes-gas","gas",184,13.9999623656926,"sedan",5.0472,8
"75","mercedes-gas","gas",184,13.9999623656926,"hardtop",4.9817,8
"76","mercury","gas",175,19.0006209660727,"hatchback",2.2942,4
"77","mitsubishi","gas",68,36.9992284966976,"hatchback",1.5076,4
