sector,company,CEO,pay1997,pay1996,stock_owned,stock_return
Basic Materials,Air Products,Harold A. Wagner,15766.5,7631.4,6989.3,0.446
Basic Materials,Alcoa,Paul H. O'Neill,15112.3,14729.3,15166.2,0.119
Basic Materials,Armco,James F. Will,2984.8,559.2,5191.4,0.197
Basic Materials,Asarco,Richard de J. Osborne,2619.3,1973.9,3015.1,-0.073
Basic Materials,Avery Dennison,Charles D. Miller,49416.2,38366.6,12321.7,0.287
Basic Materials,Bethlehem Steel,Curtis H. Barnette,1369.6,1157.7,887.5,-0.21
Basic Materials,Boise Cascade,George J. Harad,5300.9,3606.1,328.5,-0.03
Basic Materials,Cabot,Samuel W. Bodman,5644,9359.9,29034.7,-0.018
Basic Materials,Commercial Metals,Stanley A. Rabin,1714.1,1534.6,5183.4,0.039
Basic Materials,Consolidated Papers,Gorton M. Evans,705,,609.6,0.121
Basic Materials,Cyprus Amax Minerals,Milton H. Ward,3309.2,,6642.3,-0.322
Basic Materials,Dow Chemical,William S. Stavropoulos,20844.6,9347.4,6404.5,0.344
Basic Materials,DuPont,John A. Krol,39620.5,22035.9,12194.3,0.304
Basic Materials,Ethyl,Bruce C. Gottwald,845,970.1,41876.8,-0.15
Basic Materials,Fort James,Miles L. Marsh,10535.4,6917.5,11394.9,0.174
Basic Materials,Georgia Pacific,Alston D. Correll,3800.5,1050.2,8032.7,0.221
Basic Materials,Goodrich (B.F.),David L. Burner,5435.3,,2167.3,0.051
Basic Materials,Hanna (M.A.),Douglas J. McGregor,7018.8,,3663.4,0.175
Basic Materials,Hercules,R. Keith Elliott,16329.5,,12069.1,0.182
Basic Materials,International Paper,John T. Dillon,5076,,12956,0.088
Basic Materials,Kimberly-Clark,Wayne R. Sanders,25534.6,27967.8,10665.5,0.056
Basic Materials,LTV,David H. Hong,947,915.9,952.6,-0.16
Basic Materials,Louisiana-Pacific,Mark A. Suwyn,830,4853.8,2561.3,-0.076
Basic Materials,Lubrizol,W.G. Bares,3320.4,1495,4555,0.221
Basic Materials,Mallinckrodt,C. Ray Holman,5956.3,2990.1,5248.7,-0.007
Basic Materials,Mead,Jerome F. Tatar,1805.6,,3447.2,-0.018
Basic Materials,Monsanto,Robert B. Shapiro,79206.7,,47380.8,0.201
Basic Materials,Morton International,S. Jay Stewart,15769.8,13594.7,7923.4,0.13
Basic Materials,Nalco Chemical,Edward J. Mooney,3899.5,2307.4,1693,0.124
Basic Materials,Nucor,John D. Correnti,1256.9,,2139.1,-0.045
Basic Materials,Olin,Donal W. Griffin,6569,,2591.3,0.345
Basic Materials,Phelps Dodge,Douglas C. Yearly,7350.2,6347.3,7039.1,-0.053
Basic Materials,Potlatch,John M. Richards,1054,1227,1167.1,0.038
Basic Materials,Praxair, H. William Lichtenberger,21977.7,35562.6,9710.6,-0.016
Basic Materials,Reynolds Metals,Jeremiah J. Sheehan,2822.6,,533.2,0.088
Basic Materials,Rohm & Haas,J. Lawrence Wilson,7540.6,5520.2,7792.8,0.198
Basic Materials,Sherwin-Williams,John G. Breen,4386.1,4588,22647,0.005
Basic Materials,TXI Corp.,Robert D. Rogers,4928.3,7268.9,7929.7,-0.226
Basic Materials,Union Camp,W. Craig McClelland,3705.8,1749.7,2350.9,0.163
Basic Materials,Union Carbide,William H. Joyce,13553.5,11574.3,13880.9,0.068
Basic Materials,Westvaco,John A. Luke Jr,5076.9,3221.4,6057.1,0.186
Basic Materials,Weyerhaeuser,Steven R. Rogel,35.6,,0,0.07
Basic Materials,Willamette Industries,William Swindells,4149.4,,186895.6,-0.059
Basic Materials,Witco,E. Gary Cook,9818,,4235.5,0.377
Energy,Amerada Hess,John B. Hess,4207.3,1509.6,17675.1,-0.042
Energy,Amoco,H. Laurance Fuller,22989.9,21053,7536.3,0.089
Energy,Ashland,Paul W. Chellgren,11382,,6979.7,0.4
Energy,Atlantic Richfield,Mike R. Bowlin,16406.2,8340.7,8286.4,0.257
Energy,Baker Hughes,Max L. Lukens,7544.8,,6482.9,0.46
Energy,Chevron,Kenneth T. Derr,28542.5,18296.5,10238.3,0.222
Energy,Coastal,David A. Arledge,13819.1,9663.7,1362.1,0.277
Energy,Dresser Industries,William E. Bradford,7562,3828.9,6970.3,0.303
Energy,Enron,Kenneth L. Lay,33043.8,,38521.5,-0.014
Energy,Exxon,Lee R. Raymond,93261.8,57604.6,21336.4,0.284
Energy,Fina,Ron W. Haddock,990,869.9,938.5,0.391
Energy,Kerr-McGee,Luke R. Corbett,2794.6,,1657.7,-0.096
Energy,Mobil,Lucio A. Noto,23226.5,14223.2,9582.6,0.217
Energy,Occidental,Ray R. Irani,18092.1,7741.6,24647.7,0.303
Energy,Pennzoil,James L. Pate,8704.1,4748.6,1904.7,0.201
Energy,Phillips Petroleum,W.W. Allen,11326.4,9163.8,12382.9,0.133
Energy,Sonat,Ronald L. Kuehn Jr.,15689.6,22871.1,9801.9,-0.092
Energy,Sun Co.,Robert H. Campbell,8969,699.1,2190.3,0.778
Energy,Texaco,Peter I. Bijur,6649.4,,10936.2,0.144
Energy,USX,Thomas J. Usher,5907.5,2842.9,2780.2,0.449
Industrial,AMP,William J. Hudson Jr.,5949.1,4225.2,5875.2,0.12
Industrial,Aeroquip-Vickers,Darryl F. Allen,7807.3,3808.4,3799.5,0.373
Industrial,AlliedSignal,Lawrence A. Bossidy,115875.3,90882.6,34721.4,0.174
Industrial,Armstrong,George A. Lorch,8966.1,6535.1,6548.7,0.103
Industrial,Ball,George A. Sissel,3569.3,935.6,1443.4,0.374
Industrial,Briggs & Stratton,Fredrick P. Stratton Jr.,2788.5,1188.6,25500.5,0.246
Industrial,Browning-Ferris,Bruce E. Ranck,9846.6,,4168.4,0.557
