"County","LandArea","PctRural","MedianIncome","Population","PctUnder18","PctOver65","PctPoverty","PctUninsured","PctSomeCollege","PctUnemployed","PhysiciansPer10000"
"Harris",1703.5,1.2,54230,4441370,27.1,9.2,18.5,24,57,4.9,5.64915780491155
"Dallas",871.3,0.7,50118,2518638,26.9,9.7,19.1,25,54.2,5.4,6.48366299563494
"Tarrant",863.6,1.3,58127,1945360,27.1,10.2,15.2,25,61.8,5,5.68532302504421
"Bexar",1239.8,4.5,50699,1855866,26.2,11.3,17.6,27,62.5,4.6,7.01559272059513
"Travis",990.2,5.5,61779,1151145,23,8.4,17.4,24,71.2,4,8.22659178470132
"Collin",841.2,5.2,86634,885241,27.2,9.7,7.8,28,80,4.5,8.7659744634512
"El Paso",935.5,2.2,40081,833487,28.3,11.3,11.9,24,60.5,6.5,4.55915929102673
"Hidalgo",1570.9,5.1,34368,831073,33.6,10.4,34.8,25,45.3,8.7,4.42801053577724
"Denton",878.4,6.9,74569,753363,26.1,8.7,8.7,33,75.9,4.4,6.06613279388555
"Fort Bend",861.5,5.5,88516,685345,27.9,9.4,8.4,25,73.2,4.5,7.36855160539582
"Montgomery",1041.7,22.7,70929,518947,26.8,12,12.4,27,63.3,4.4,5.87728611977716
"Williamson",1118.3,12,73098,489250,27.1,10.9,7,28,74.8,4.3,6.35666836995401
"Cameron",890.9,8.4,32215,420392,31.6,12.4,34.8,22,45.5,8.3,4.78125178404917
"Nueces",838.5,6.4,51222,356221,25.3,13,18.4,19,58.1,5,7.41112960774351
"Brazoria",1357.7,22.5,73788,338124,26.8,10.9,11.2,22,65.5,5,6.32903905076244
"Bell",1051,15.2,51048,329140,27.7,9.9,15.3,29,65.3,5.8,8.35510724919487
"Galveston",378.4,6.1,58333,314198,24.7,12.8,13.3,16,63.6,5.5,6.71551060159517
"Lubbock",895.6,11.3,45719,293974,24.2,11.8,20.4,27,64.7,3.9,7.51767163082449
"Webb",3361.5,2.6,37935,266673,34,8.7,31.4,20,47.2,5.1,3.1124260798806
"Jefferson",876.3,8.4,41147,252235,23.7,13.4,21,20,51,8.2,6.02612642971832
"McLennan",380.9,23.4,43488,243441,24.8,13.4,23.2,22,59,5.1,6.73674524833532
"Smith",921.5,31.6,45363,218842,24.9,15.5,16.7,24,62.1,5.2,10.0986099560413
"Brazos",585.5,12.1,41641,209152,20.5,8.3,29.8,39,66.5,3.9,7.69775091799266
"Hays",678,31.7,59569,185025,23.6,10,17,25,68.6,4.2,3.94541278205648
"Ellis",1012.7,32,61157,159317,27,11.9,23.3,23,57.2,4.9,4.0799161420313
"Johnson",724.7,37.9,55926,157456,26.4,13.2,12,28,51.6,5,4.76323544355248
"Midland",900.3,12.3,74811,155830,27.6,10.2,10.4,27,61.7,2.8,3.78617724443304
"Ector",897.7,9.5,55555,153904,29.8,9.6,15.9,26,48.1,3.4,5.52292338080882
"Guadalupe",711.3,26.2,61825,147250,26.2,13,9.7,24,62.7,4.3,2.98811544991511
"Taylor",915.6,16,45559,135143,24.6,13.9,17.4,25,62.7,4.2,6.73360810400835
"Wichita",627.8,10.7,43379,132355,22.8,13.8,15.6,35,57,4.9,7.93320992784557
"Randall",911.5,14.4,64636,128220,24.3,13.6,10.3,29,73.3,3.4,6.16128529090625
"Comal",559.5,46.1,64533,123694,23.1,17.4,10.2,20,67.1,4.5,6.87179653014698
"Grayson",932.8,43.2,49261,123534,23.8,17,15.7,21,56.2,4.8,5.09981057846423
"Gregg",273.3,13.4,50020,123204,25.8,14.2,17.6,37,54.4,4.8,7.30495763124574
"Parker",903.5,56.1,67655,123164,24.4,14.8,10.9,20,63.8,4.5,4.95274593225293
"Potter",908.4,9,38224,121627,27.6,11.6,23.1,29,49.4,3.9,7.7285471153609
"Tom Green",1522,15.6,45261,116608,23.6,14.5,16.2,21,54.3,4,7.0321075740944
"Kaufman",780.7,48.8,57585,111236,27.6,11.8,13.3,22,57.4,5.1,2.87676651443777
"Bowie",885,35.4,41883,93275,23.8,15.5,19.7,34,53.9,6.3,7.71911015813455
"Victoria",882.1,26.6,51003,91081,25.8,14.6,16.9,26,54.1,4.1,7.90505154752363
"Hunt",840.3,56.6,43385,88493,23.9,15.4,19.9,26,51.3,5.8,3.61610522866215
"Rockwall",127,16,84692,87809,27.7,11.8,5.9,16,73.5,4.5,7.06077964673325
"Angelina",797.8,43.1,42128,87750,26.1,15,19.3,36,50.6,5.2,6.03988603988604
"Orange",333.7,35.2,48834,83433,24.7,15.1,14.4,26,53,7.9,2.63684633178718
"Henderson",873.8,60.1,40921,79290,22,20.8,18.9,20,47.2,5.5,4.54029511918275
"Liberty",1158.4,63.2,47123,78117,25.1,12.7,18.4,32,40.7,6.9,2.56026217084629
"Bastrop",888.2,63.9,52886,78069,25.5,13.7,16.5,26,46.1,4.8,2.43374450806338
"Coryell",1052.1,19.4,47018,75562,24.8,9,13.4,25,57.9,6,2.64683306423864
"Walker",784.2,45.6,39984,69789,15.6,11.4,26,20,47.8,5.4,3.43893736835318
"Harrison",900,56.1,48461,67336,24.9,14.9,16,35,53.3,5.5,2.8216704288939
"San Patricio",693.5,19.7,51958,66915,27.3,14.2,17,25,54.2,6.2,2.68997982515131
"Nacogdoches",946.5,46.5,38895,65301,23.5,13.1,25.7,27,55.1,5.4,7.50371357253335
"Starr",1223.2,23.7,26699,62955,33,11.3,39.2,29,32.6,13.5,1.74727980303391
"Wise",904.4,72.1,59904,61638,25.1,14.4,10.8,32,47.5,4.8,5.19160258282228
"Anderson",1062.6,67.1,42471,57627,19.2,13.8,20.3,34,39.9,4.8,3.99118468773318
"Maverick",1139.4,9.3,32248,57023,31.9,11.4,19.2,29,46.2,10.9,2.98125317854199
"Hardin",890.6,51.5,53872,55621,24.8,15.2,10.9,27,56.7,6.2,2.5170349328491
"Rusk",924,65.9,46427,53923,23.2,15.1,17.8,29,43.3,4.9,2.59629471654025
"Hood",420.6,32.8,55472,53921,20.6,24.1,12.1,27,55.9,4.9,5.37823853415181
"Van Zandt",842.6,75,43377,52910,23.5,19.8,16.4,17,48.8,5.2,1.51200151200151
"Cherokee",1052.9,63,38465,50902,25.6,16.1,24.5,21,43.9,5.8,2.35747121920553
"Kerr",1103.3,41.1,44113,50562,19.4,26.8,14.9,30,57.1,4.3,8.30663344013291
"Lamar",1486.7,47.1,41009,49523,23.7,18.4,21.7,24,55.9,6.1,4.64430668578236
"Val Verde",3144.8,10.2,41437,48974,28.9,13.8,22.1,30,48.4,5.7,3.06284967533793
"Navarro",1009.6,52.7,43091,48195,26.2,16.2,21.1,24,46.9,5.2,5.18726008922087
"Medina",1325.4,61.6,53440,47894,23.9,15.5,17.7,28,53,4.8,2.50553305215685
"Atascosa",1219.5,60.7,52785,47774,27.9,13.9,16.4,25,45.9,4.9,2.09318876376272
"Waller",513.4,61.6,50589,46820,24,11.5,20.4,35,43.5,5,0.854335753951303
