round,casesremain,total,lefttotal,righttotal,average,offer,maxleft,game
1,20,2917665,1665,2916000,145883.25,17000,1000000,1
2,15,1917110,1110,1916000,127807.3281,22000,750000,1
3,11,1611110,1110,1610000,146464.5469,35000,750000,1
4,8,1260610,610,1260000,157576.25,68000,750000,1
5,6,1250210,210,1250000,208368.3281,125000,750000,1
6,5,1250135,135,1250000,250027,199000,750000,1
7,4,1250125,125,1250000,312531.25,279000,750000,1
8,3,1250025,25,1250000,416675,359000,750000,1
1,20,2982941.01,1941.01,2981000,149147.0469,10000,1000000,2
2,15,2607906.01,1906.01,2606000,173860.4063,31000,1000000,2
3,11,2106856,1856,2105000,191532.3594,48000,1000000,2
4,8,1056356,1356,1055000,132044.5,39000,750000,2
5,6,1050956,956,1050000,175159.3281,66000,750000,2
6,5,1050206,206,1050000,210041.2031,97000,750000,2
7,4,1050006,6,1050000,262501.5,172000,750000,2
8,3,300006,6,300000,100002,80000,300000,2
9,2,6,6,0,3,2,5,2
10,1,5,5,0,5,5,5,2
1,20,3412786,1786,3411000,170639.2969,21000,1000000,3
2,15,1261936,936,1261000,84129.07031,37000,500000,3
3,11,1086876,876,1086000,98806.90625,53000,500000,3
4,8,885875,875,885000,110734.3828,77000,500000,3
5,6,575875,875,575000,95979.17188,63000,500000,3
6,5,550875,875,550000,110175,90000,500000,3
7,4,550575,575,550000,137643.75,138000,500000,3
8,3,50575,575,50000,16858.33008,17000,50000,3
9,2,50500,500,50000,25250,25000,50000,3
1,20,2393191.01,2191.01,2391000,119659.5469,7000,1000000,4
2,15,1217791,1791,1216000,81186.07031,19000,500000,4
3,11,1216566,1566,1215000,110596.9063,36000,500000,4
4,8,1216051,1051,1215000,152006.375,63000,500000,4
5,6,1211050,1050,1210000,201841.6719,99000,500000,4
6,5,1210750,750,1210000,242150,162000,500000,4
7,4,1210000,0,1210000,302500,240000,500000,4
8,3,710000,0,710000,236666.6719,189000,400000,4
1,20,3057366.01,1366.01,3056000,152868.2969,13000,1000000,5
2,15,2206316.01,1316.01,2205000,147087.7344,27000,1000000,5
3,11,1806215,1215,1805000,164201.3594,48000,1000000,5
4,8,1505790,790,1505000,188223.75,76000,1000000,5
5,6,1505585,585,1505000,250930.8281,124000,1000000,5
6,5,1005585,585,1005000,201117,121000,1000000,5
7,4,1005085,85,1005000,251271.25,201000,1000000,5
1,20,2367491,1491,2366000,118374.5469,11000,1000000,6
2,15,1266730,730,1266000,84448.67188,19000,500000,6
3,11,1165655,655,1165000,105968.6406,37000,500000,6
4,8,715355,355,715000,89419.38281,32000,500000,6
5,6,215255,255,215000,35875.82813,25000,200000,6
6,5,205255,255,205000,41051,37000,200000,6
7,4,200255,255,200000,50063.75,50000,200000,6
8,3,200055,55,200000,66685,67000,200000,6
9,2,200050,50,200000,100025,99000,200000,6
1,20,3032166,1166,3031000,151608.2969,9000,1000000,7
2,15,2681765,765,2681000,178784.3281,28000,1000000,7
3,11,2276750,750,2276000,206977.2656,58000,1000000,7
4,8,1525675,675,1525000,190709.375,75000,1000000,7
5,6,1500575,575,1500000,250095.8281,113000,1000000,7
6,5,1500550,550,1500000,300110,199000,1000000,7
7,4,1500250,250,1500000,375062.5,275000,1000000,7
8,3,1000250,250,1000000,333416.6563,267000,1000000,7
1,20,2418311,2311,2416000,120915.5469,9000,1000000,8
2,15,1892061,1061,1891000,126137.3984,19000,1000000,8
3,11,140986,986,140000,12816.91016,12000,75000,8
4,8,130536,536,130000,16317,15000,75000,8
5,6,125236,236,125000,20872.66992,19000,75000,8
6,5,125235,235,125000,25047,23000,75000,8
7,4,125225,225,125000,31306.25,28000,75000,8
8,3,125200,200,125000,41733.32813,35000,75000,8
9,2,50200,200,50000,25100,23000,50000,8
1,20,1593386.01,2386.01,1591000,79669.29688,4000,750000,9
2,15,986886.01,1886.01,985000,65792.39844,13000,750000,9
3,11,236486,1486,235000,21498.73047,9000,100000,9
4,8,226236,1236,225000,28279.5,18000,100000,9
5,6,225476,476,225000,37579.32813,26000,100000,9
6,5,175476,476,175000,35095.19922,22000,100000,9
7,4,175475,475,175000,43868.75,40000,100000,9
8,3,175075,75,175000,58358.32813,55000,100000,9
9,2,175000,0,175000,87500,85000,100000,9
