date,hpi,numsold
1/1/91,100,30
2/1/91,100.48,40
3/1/91,100.74,51
4/1/91,100.75,50
5/1/91,100.92,47
6/1/91,101.4,47
7/1/91,101.36,43
8/1/91,101.31,46
9/1/91,101.41,37
10/1/91,101.62,41
11/1/91,102.16,39
12/1/91,102.21,36
1/1/92,102.31,48
2/1/92,102.97,55
3/1/92,103.11,56
4/1/92,102.99,53
5/1/92,103.17,52
6/1/92,103.53,53
7/1/92,103.8,52
8/1/92,104.36,56
9/1/92,104.62,51
10/1/92,104.81,48
11/1/92,105.07,42
12/1/92,104.67,42
1/1/93,104.43,44
2/1/93,104.1,50
3/1/93,104.72,60
4/1/93,105.61,66
5/1/93,105.93,58
6/1/93,106.73,59
7/1/93,106.75,55
8/1/93,107.2,57
9/1/93,107.41,57
10/1/93,107.54,56
11/1/93,107.75,53
12/1/93,107.92,51
1/1/94,107.92,46
2/1/94,108.03,58
3/1/94,108.75,74
4/1/94,109.34,65
5/1/94,109.88,65
6/1/94,110.5,55
7/1/94,110.62,52
8/1/94,110.97,59
9/1/94,110.83,54
10/1/94,110.91,57
11/1/94,111.04,45
12/1/94,110.7,40
1/1/95,110.77,47
2/1/95,111.19,47
3/1/95,111.49,60
4/1/95,111.95,58
5/1/95,112.32,63
6/1/95,113.12,64
7/1/95,113.63,64
8/1/95,113.97,63
9/1/95,113.9,54
10/1/95,113.82,54
11/1/95,113.84,46
12/1/95,113.96,45
1/1/96,114.1,54
2/1/96,114.28,68
3/1/96,115.03,70
4/1/96,115.66,70
5/1/96,116.27,69
6/1/96,116.74,65
7/1/96,117.15,66
8/1/96,117.13,73
9/1/96,117.17,62
10/1/96,116.97,56
11/1/96,117.13,54
12/1/96,117.14,51
1/1/97,116.98,61
2/1/97,117.27,69
3/1/97,118.22,81
4/1/97,118.75,70
5/1/97,119.56,71
6/1/97,120,71
7/1/97,120.3,69
8/1/97,120.7,72
9/1/97,120.47,67
10/1/97,120.88,62
11/1/97,121.04,61
12/1/97,121.1,51
1/1/98,121.22,64
2/1/98,122.13,75
3/1/98,123,81
4/1/98,123.89,82
5/1/98,124.81,82
6/1/98,126,83
7/1/98,126.25,75
8/1/98,126.78,75
9/1/98,127.21,68
10/1/98,127.53,69
11/1/98,128.03,70
12/1/98,128.23,61
1/1/99,128.76,67
2/1/99,129.28,76
3/1/99,130.31,84
4/1/99,131.3,86
5/1/99,132.55,80
6/1/99,133.59,82
7/1/99,134.24,78
8/1/99,135.02,78
9/1/99,135.09,65
10/1/99,135.73,67
11/1/99,135.88,61
12/1/99,136.13,57
1/1/00,137.43,67
2/1/00,137.29,78
3/1/00,138.85,88
4/1/00,140.16,78
5/1/00,141.3,77
6/1/00,142.72,71
7/1/00,143.42,76
8/1/00,143.88,73
9/1/00,144.48,70
10/1/00,145,71
11/1/00,145.48,63
12/1/00,145.88,65
1/1/01,146.59,72
2/1/01,147.48,85
3/1/01,148.88,94
4/1/01,150.08,84
5/1/01,151.3,80
6/1/01,152.56,79
7/1/01,153.43,76
8/1/01,154,74
9/1/01,154.58,66
10/1/01,155.14,66
11/1/01,155.12,67
12/1/01,155.71,66
1/1/02,156.29,66
2/1/02,157.15,84
3/1/02,158.72,90
4/1/02,160.04,86
5/1/02,161.74,88
6/1/02,163.28,84
7/1/02,164.32,82
8/1/02,165.28,90
9/1/02,166.04,82
10/1/02,166.77,77
11/1/02,167.16,73
12/1/02,167.87,70
1/1/03,168.44,76
2/1/03,169.49,82
3/1/03,170.76,98
4/1/03,172.3,91
5/1/03,173.95,101
6/1/03,175.38,107
7/1/03,176.69,99
8/1/03,177.84,105
9/1/03,178.98,90
10/1/03,179.59,88
11/1/03,180.32,76
12/1/03,181.25,75
1/1/04,181.92,89
2/1/04,183.49,102
3/1/04,185.34,123
4/1/04,187.53,109
5/1/04,190.22,115
6/1/04,192.76,105
7/1/04,194.39,96
8/1/04,195.61,102
9/1/04,196.76,94
10/1/04,197.6,101
11/1/04,198.8,84
12/1/04,199.81,83
1/1/05,200.46,92
2/1/05,202.23,109
3/1/05,205.07,127
4/1/05,207.63,116
5/1/05,210.33,120
6/1/05,212.79,115
7/1/05,214.8,117
8/1/05,216.3,110
9/1/05,217.76,99
10/1/05,218.36,105
11/1/05,218.94,86
12/1/05,219.43,87
