"year","team","attempted.3s","percent.3s.made","total.points"
"2015-16","Golden State Warriors*",31.6,41.6,114.9
"2015-16","Oklahoma City Thunder*",23.7,34.9,110.2
"2015-16","Sacramento Kings",22.4,35.9,106.6
"2015-16","Houston Rockets*",30.9,34.7,106.5
"2015-16","Boston Celtics*",26.1,33.5,105.7
"2015-16","Portland Trail Blazers*",28.5,37,105.1
"2015-16","Los Angeles Clippers*",26.7,36.4,104.5
"2015-16","Cleveland Cavaliers*",29.6,36.2,104.3
"2015-16","Washington Wizards",24.2,35.8,104.1
"2015-16","San Antonio Spurs*",18.5,37.5,103.5
"2015-16","Charlotte Hornets*",29.4,36.2,103.4
"2015-16","Atlanta Hawks*",28.4,35,102.8
"2015-16","New Orleans Pelicans",23.8,36,102.7
"2015-16","Toronto Raptors*",23.4,37,102.7
"2015-16","Minnesota Timberwolves",16.4,33.8,102.4
"2015-16","Dallas Mavericks*",28.6,34.4,102.3
"2015-16","Indiana Pacers*",23,35.1,102.2
"2015-16","Orlando Magic",22.2,35,102.1
"2015-16","Detroit Pistons*",26.2,34.5,102
"2015-16","Denver Nuggets",23.7,33.8,101.9
"2015-16","Chicago Bulls",21.4,37.1,101.6
"2015-16","Phoenix Suns",25.8,34.8,100.9
"2015-16","Miami Heat*",18,33.6,100
"2015-16","Memphis Grizzlies*",18.5,33.1,99.1
"2015-16","Milwaukee Bucks",15.6,34.5,99
"2015-16","Brooklyn Nets",18.4,35.2,98.6
"2015-16","New York Knicks",21.5,34.6,98.4
"2015-16","Utah Jazz",23.9,35.5,97.7
"2015-16","Philadelphia 76ers",27.5,33.9,97.4
"2015-16","Los Angeles Lakers",24.6,31.7,97.3
"2014-15","Golden State Warriors*",27,39.8,110
"2014-15","Los Angeles Clippers*",26.9,37.6,106.7
"2014-15","Dallas Mavericks*",25.4,35.2,105.2
"2014-15","Toronto Raptors*",25.1,35.2,104
"2014-15","Oklahoma City Thunder",22.7,33.9,104
"2014-15","Houston Rockets*",32.7,34.8,103.9
"2014-15","San Antonio Spurs*",22.5,36.7,103.2
"2014-15","Cleveland Cavaliers*",27.5,36.7,103.1
"2014-15","Portland Trail Blazers*",27.2,36.2,102.8
"2014-15","Atlanta Hawks*",26.2,38,102.5
"2014-15","Phoenix Suns",25,34.1,102.4
"2014-15","Denver Nuggets",24.8,32.5,101.5
"2014-15","Boston Celtics*",24.6,32.7,101.4
"2014-15","Sacramento Kings",16.5,34.1,101.3
"2014-15","Chicago Bulls*",22.3,35.3,100.8
"2014-15","New Orleans Pelicans*",19.3,37,99.4
"2014-15","Washington Wizards*",16.8,36,98.5
"2014-15","Detroit Pistons",24.9,34.4,98.5
"2014-15","Los Angeles Lakers",18.9,34.4,98.5
"2014-15","Memphis Grizzlies*",15.2,33.9,98.3
"2014-15","Brooklyn Nets*",19.9,33.1,98
"2014-15","Milwaukee Bucks*",18.3,36.3,97.8
"2014-15","Minnesota Timberwolves",14.9,33.2,97.8
"2014-15","Indiana Pacers",21.2,35.2,97.3
"2014-15","Orlando Magic",19.5,34.7,95.7
"2014-15","Utah Jazz",21.7,34.3,95.1
"2014-15","Miami Heat",20.2,33.5,94.7
"2014-15","Charlotte Hornets",19.1,31.8,94.2
