index,sales,quarter,year
1,195027,Q1,1995
2,161864,Q2,1995.25
3,167601,Q3,1995.5
4,171442,Q4,1995.75
5,244986,Q1,1996
6,203912,Q2,1996.25
7,213402,Q3,1996.5
8,229798,Q4,1996.75
9,312584,Q1,1997
10,259800,Q2,1997.25
11,274510,Q3,1997.5
12,270452,Q4,1997.75
13,407788,Q1,1998
14,324811,Q2,1998.25
15,330999,Q3,1998.5
16,326170,Q4,1998.75
17,432207,Q1,1999
18,341395,Q2,1999.25
19,360804,Q3,1999.5
20,358113,Q4,1999.75
21,532626,Q1,2000
22,425113,Q2,2000.25
23,442557,Q3,2000.5
24,438334,Q4,2000.75
25,643435,Q1,2001
26,516660,Q2,2001.25
27,535584,Q3,2001.5
28,576552,Q4,2001.75
29,780799,Q1,2002
30,622789,Q2,2002.25
31,648763,Q3,2002.5
32,638124,Q4,2002.75
33,923760,Q1,2003
34,725139,Q2,2003.25
35,749043,Q3,2003.5
36,750651,Q4,2003.75
37,1118148,Q1,2004
38,902141,Q2,2004.25
39,917355,Q3,2004.5
40,927306,Q4,2004.75
41,1368328,Q1,2005
42,1085158,Q2,2005.25
43,1132736,Q3,2005.5
44,1115067,Q4,2005.75
45,1666953,Q1,2006
46,1311520,Q2,2006.25
47,1337886,Q3,2006.5
48,1291017,Q4,2006.75
49,1870731,Q1,2007
50,1463210,Q2,2007.25
51,1514420,Q3,2007.5
52,1743412,Q4,2007.75
53,2457258,Q1,2008
54,1866493,Q2,2008.25
55,1841242,Q3,2008.5
56,1788919,Q4,2008.75
57,2466503,Q1,2009
58,1857550,Q2,2009.25
59,1878338,Q3,2009.5
60,1829229,Q4,2009.75
61,2639158,Q1,2010
62,2106061,Q2,2010.25
63,2163181,Q3,2010.5
64,2097394,Q4,2010.75
65,3003695,Q1,2011
66,2350518,Q2,2011.25
67,2399781,Q3,2011.5
68,2353833,Q4,2011.75
69,3390940,Q1,2012
70,2670282,Q2,2012.25
71,2727279,Q3,2012.5
72,2910327,Q4,2012.75
73,3856000,Q1,2013
74,3027000,Q2,2013.25
75,3058000,Q3,2013.5
76,2976000,Q4,2013.75
77,4239000,Q1,2014
78,3322000,Q2,2014.25
79,3377000,Q3,2014.5
80,3256000,Q4,2014.75
81,4671000,Q1,2015
82,3647000,Q2,2015.25
83,3632000,Q3,2015.5
84,3438000,Q4,2015.75
85,4829000,Q1,2016
86,3696000,Q2,2016.25
87,3703000,Q3,2016.5
88,3497000,Q4,2016.75
