Period,Time,Year,Quarter,Revenue
1,2011.5,2011,Q3,28.27
2,2011.75,2011,Q4,46.33
3,2012,2012,Q1,39.19
4,2012.25,2012,Q2,35.02
5,2012.5,2012,Q3,35.97
6,2012.75,2012,Q4,54.51
7,2013,2013,Q1,43.6
8,2013.25,2013,Q2,35.32
9,2013.5,2013,Q3,37.47
10,2013.75,2013,Q4,57.59
11,2014,2014,Q1,45.65
12,2014.25,2014,Q2,37.43
13,2014.5,2014,Q3,42.12
14,2014.75,2014,Q4,74.6
15,2015,2015,Q1,58.01
16,2015.25,2015,Q2,49.6
17,2015.5,2015,Q3,51.5
18,2015.75,2015,Q4,75.87
19,2016,2016,Q1,50.56
20,2016.25,2016,Q2,42.36
21,2016.5,2016,Q3,46.85
22,2016.75,2016,Q4,78.35
23,2017,2017,Q1,52.9
24,2017.25,2017,Q2,45.41
25,2017.5,2017,Q3,52.58
26,2017.75,2017,Q4,88.29
27,2018,2018,Q1,61.14
28,2018.25,2018,Q2,53.26
29,2018.5,2018,Q3,62.9
30,2018.75,2018,Q4,84.31
31,2019,2019,Q1,58.02
32,2019.25,2019,Q2,53.81
33,2019.5,2019,Q3,64.04
34,2019.75,2019,Q4,91.82
35,2020,2020,Q1,58.31
36,2020.25,2020,Q2,59.68
37,2020.5,2020,Q3,64.7
38,2020.75,2020,Q4,111.44
39,2021,2021,Q1,89.58
40,2021.25,2021,Q2,81.43
41,2021.5,2021,Q3,83.36
42,2021.75,2021,Q4,123.94
43,2022,2022,Q1,97.28
44,2022.25,2022,Q2,82.96
