day,date,ozone,wind_speed,max_temp,rain,NOX,radiation,opaqueness
1,7/1/1982,7,9.8333,90.05,0,12.7932,604.25,4
2,7/2/1982,5,9.8,91.48,0,11.2365,643,1
3,7/3/1982,10,6.4667,91.58,0,7.0552,646.25,3
4,7/4/1982,9,7.1111,89.53,0,10.065,549.75,4
5,7/5/1982,5,11.0222,90.8,1,8.2405,572,4
6,7/6/1982,5,10.7556,91.5,0,10.0852,545.5,5
7,7/7/1982,9,6.1,90.1,0,12.2292,468.25,5
8,7/8/1982,15,5.0778,91.03,0,14.9292,605.25,3
9,7/9/1982,8,6.3222,89.95,0,19.9357,563.75,4
10,7/10/1982,7,7.6222,91.48,0,9.5569,605,4
11,7/11/1982,12,6.4889,93,0,6.8611,623.75,3
12,7/12/1982,19,5.6778,93.65,0,14.2358,610.5,3
13,7/13/1982,21,4.1778,91.8,1,18.7901,560.75,1
14,7/14/1982,19,4.3222,88.4,0,29.4312,360.75,3
15,7/15/1982,11,6.7,90.93,1,20.2303,484.5,4
16,7/16/1982,12,6.9333,88.2,0,23.3695,313.75,3
17,7/17/1982,9,6.9333,90.2,0,18.5507,465.75,4
18,7/18/1982,7,8.4889,90.2,0,18.3824,515.5,5
19,7/19/1982,11,6.3667,93.55,0,15.3564,586.75,4
20,7/20/1982,15,5.2056,93.9,0,11.3272,576.25,3
21,7/21/1982,18,5.0556,93.08,1,18.2917,404.75,5
22,7/22/1982,22,4.4167,89.13,0,23.7668,330.25,0
23,7/23/1982,17,5.8,93.1,1,13.392,504.25,1
24,7/24/1982,19,5.9,93.78,0,10.0715,586.75,4
25,7/25/1982,10,7.6444,94.25,0,10.366,554,4
26,7/26/1982,8,8.2667,91.65,0,19.1979,366.5,3
27,7/27/1982,9,6.1167,91.78,0,17.5928,400.25,4
28,7/28/1982,14,6.6667,95.25,0,13.6573,584.75,2
29,7/29/1982,11,7.2333,94.3,1,13.392,525.25,4
30,7/30/1982,7,8.3111,94.35,0,11.7544,415.75,6
31,7/31/1982,6,9.1222,93.53,0,11.1492,476,6
32,8/1/1982,8,8.4333,92.73,0,9.8676,511.25,3
33,8/2/1982,10,6.6,93.5,0,10.8805,569.75,3
34,8/3/1982,5,10.9333,93.68,0,15.261,613.25,3
35,8/4/1982,8,7.3333,94,0,14.1733,598,2
36,8/5/1982,23,5.2778,94.75,0,16.9693,570.75,0
37,8/6/1982,28,4.5778,94.03,0,27.0263,489.75,1
38,8/7/1982,11,3.6889,80.18,1,27.59,90.25,10
39,8/8/1982,15,4.8444,83.38,1,30.9127,428.25,5
40,8/9/1982,14,7.4444,84.23,1,36.9053,353.75,2
41,8/10/1982,10,10.0667,89.2,1,17.4558,495.25,3
