Period,Time,Year,Quarter,Revenue
1,2009.5,2009,Q3,9.73
2,2009.75,2009,Q4,12.21
3,2010,2010,Q1,15.68
4,2010.25,2010,Q2,13.5
5,2010.5,2010,Q3,15.7
6,2010.75,2010,Q4,20.34
7,2011,2011,Q1,26.74
8,2011.25,2011,Q2,24.67
9,2011.5,2011,Q3,28.57
10,2011.75,2011,Q4,28.27
11,2012,2012,Q1,46.33
12,2012.25,2012,Q2,39.19
13,2012.5,2012,Q3,35.02
14,2012.75,2012,Q4,35.97
15,2013,2013,Q1,54.51
16,2013.25,2013,Q2,43.6
17,2013.5,2013,Q3,35.32
18,2013.75,2013,Q4,37.47
19,2014,2014,Q1,57.59
20,2014.25,2014,Q2,45.65
21,2014.5,2014,Q3,37.43
22,2014.75,2014,Q4,42.12
23,2015,2015,Q1,74.6
24,2015.25,2015,Q2,58.01
25,2015.5,2015,Q3,49.6
26,2015.75,2015,Q4,51.5
27,2016,2016,Q1,75.87
28,2016.25,2016,Q2,50.56
29,2016.5,2016,Q3,42.36
30,2016.75,2016,Q4,46.85
31,2017,2017,Q1,78.35
32,2017.25,2017,Q2,52.9
33,2017.5,2017,Q3,45.41
34,2017.75,2017,Q4,52.58
35,2018,2018,Q1,88.29
36,2018.25,2018,Q2,61.14
37,2018.5,2018,Q3,53.26
38,2018.75,2018,Q4,62.9
39,2019,2019,Q1,84.31
40,2019.25,2019,Q2,58.02
41,2019.5,2019,Q3,53.81
42,2019.75,2019,Q4,64.04
43,2020,2020,Q1,91.82
44,2020.25,2020,Q2,58.31
45,2020.5,2020,Q3,59.68
46,2020.75,2020,Q4,64.7
47,2021,2021,Q1,111.44
48,2021.25,2021,Q2,89.58
49,2021.5,2021,Q3,81.43
50,2021.75,2021,Q4,83.36
51,2022,2022,Q1,123.94
52,2022.25,2022,Q2,97.28
53,2022.5,2022,Q3,82.96
54,2022.75,2022,Q4,90.15
55,2023,2023,Q1,117.15
56,2023.25,2023,Q2,94.84
57,2023.5,2023,Q3,81.8
58,2023.75,2023,Q4,89.5
59,2024,2024,Q1,119.58
60,2024.25,2024,Q2,90.75
61,2024.50,2024,Q3,85.8
62,2024.75,2024,Q4,94.9
63,2025,2025,Q1,124.3
64,2025.25,2025,Q2,95.4
