id,female,city,age,logins,mandalorian,unsubscribe
1,yes,yes,48,7,yes,stay
2,yes,yes,53,10,no,unsubscribe
3,no,yes,45,7,yes,stay
4,yes,yes,51,5,yes,stay
5,yes,yes,45,10,no,stay
6,yes,no,40,0,yes,stay
7,no,yes,55,8,no,stay
8,yes,yes,43,10,no,stay
9,no,yes,63,3,yes,unsubscribe
10,yes,yes,53,4,yes,stay
11,no,yes,52,5,yes,stay
12,no,yes,48,8,no,stay
13,yes,yes,39,8,yes,unsubscribe
14,yes,no,44,9,no,stay
15,no,yes,52,10,no,stay
16,no,yes,40,0,yes,stay
17,yes,yes,60,10,no,stay
18,yes,yes,49,5,yes,stay
19,yes,yes,49,3,yes,stay
20,no,yes,40,7,yes,stay
21,no,yes,56,0,yes,stay
22,no,yes,46,10,no,stay
23,no,yes,43,3,yes,stay
24,no,yes,40,2,yes,unsubscribe
25,yes,yes,30,7,yes,stay
26,yes,yes,54,3,yes,stay
27,no,yes,40,3,yes,stay
28,no,yes,37,10,no,stay
29,no,yes,36,3,yes,stay
30,yes,yes,57,4,yes,stay
31,yes,yes,47,9,no,stay
32,no,yes,46,5,yes,stay
33,yes,no,47,0,yes,unsubscribe
34,no,yes,47,3,yes,stay
35,no,no,52,0,yes,unsubscribe
36,no,yes,47,3,yes,stay
37,yes,yes,41,0,yes,unsubscribe
38,no,yes,51,9,no,stay
39,no,yes,51,3,yes,unsubscribe
40,yes,yes,39,5,yes,stay
41,yes,yes,44,7,yes,stay
42,no,yes,45,0,yes,unsubscribe
43,no,yes,37,8,no,stay
44,no,no,37,0,yes,unsubscribe
45,no,yes,39,3,yes,stay
46,yes,yes,50,4,yes,unsubscribe
47,no,yes,38,5,yes,stay
48,no,yes,46,3,yes,stay
49,yes,yes,53,5,yes,stay
50,yes,yes,51,9,no,unsubscribe
51,yes,yes,38,0,yes,unsubscribe
52,yes,yes,48,3,yes,stay
53,yes,no,55,0,yes,stay
54,yes,yes,29,10,no,stay
55,no,yes,35,3,yes,stay
56,yes,yes,52,10,no,stay
57,yes,yes,48,10,no,unsubscribe
58,yes,yes,48,5,yes,unsubscribe
59,no,yes,49,3,yes,unsubscribe
60,yes,yes,39,7,yes,unsubscribe
61,yes,yes,56,3,yes,unsubscribe
62,no,yes,50,0,yes,unsubscribe
63,no,yes,43,0,yes,unsubscribe
64,no,yes,43,5,yes,stay
65,yes,yes,48,8,no,stay
66,yes,yes,46,10,no,stay
67,yes,yes,46,7,yes,stay
68,yes,no,43,0,yes,stay
69,yes,yes,47,8,yes,stay
70,no,yes,34,10,no,stay
71,yes,yes,51,3,yes,unsubscribe
72,yes,yes,38,7,yes,stay
73,no,yes,47,9,no,stay
74,no,yes,41,10,no,stay
75,no,yes,53,5,yes,stay
76,no,yes,40,5,yes,unsubscribe
77,no,yes,36,9,no,stay
78,no,yes,46,10,no,stay
79,no,yes,45,4,yes,unsubscribe
80,yes,yes,36,4,yes,unsubscribe
81,yes,yes,50,7,yes,stay
82,no,yes,40,4,yes,unsubscribe
83,no,yes,40,5,yes,stay
84,no,yes,34,0,yes,unsubscribe
85,yes,yes,54,3,yes,stay
86,no,yes,43,4,yes,stay
87,no,yes,38,10,no,stay
88,yes,yes,40,9,no,stay
89,yes,no,41,5,no,stay
90,no,no,53,8,no,stay
91,no,no,36,0,yes,unsubscribe
92,yes,yes,35,8,yes,stay
93,yes,yes,42,5,yes,stay
94,yes,yes,47,4,yes,stay
95,no,yes,38,5,yes,stay
96,yes,yes,41,0,yes,stay
