"X","index","Plot","Rated","Response","Language","Title","Country","Writer","Metascore","imdbRating","Director","Released_x","Actors","Year","Genre_x","Awards","Runtime","Type","Poster","imdbVotes","Error","Month","Week","English","USA","rating","title","Released_y","Movie","Genre_y","Budget","Revenue","Trailer","Adj_Revenue","Adj_Budget","bechdel_test"
1,1571222,"A look at how the intense relationship between Carl Jung and Sigmund Freud gives birth to psychoanalysis.","R","True","English","A Dangerous Method","UK, Germany, Canada, Switzerland","Christopher Hampton (screenplay), Christopher Hampton (play), John Kerr (book)",7.6,6.5,"David Cronenberg","2011-11-10","Keira Knightley, Viggo Mortensen, Michael Fassbender, Vincent Cassel",2011,"Biography, Drama, Thriller","Nominated for 1 Golden Globe. Another 17 wins & 16 nominations.",99,"movie","http://ia.media-imdb.com/images/M/MV5BMTU5Mjk3NjgxMl5BMl5BanBnXkFtZTcwMDM5MjA5Ng@@._V1_SX300.jpg",61249,NA,11,45,1,0,3,"A Dangerous Method","2011-11-23","A Dangerous Method","Drama",2e+07,5702083,"Play",6.05662645149689,21.2435576665471,"PASS"
4,115759,"Terrorists steal nuclear warheads from the U.S. military but don't count on a pilot and park ranger spoiling their plans.","R","True","English","Broken Arrow","USA","Graham Yost",6.1,5.9,"John Woo","1996-02-09","John Travolta, Christian Slater, Samantha Mathis, Delroy Lindo",1996,"Action, Adventure, Thriller","1 win & 3 nominations.",108,"movie","http://ia.media-imdb.com/images/M/MV5BMTY1NTQzMDQwMF5BMl5BanBnXkFtZTYwOTQ1OTk4._V1_SX300.jpg",66094,NA,2,6,1,1,0,"Broken Arrow","1996-02-09","Broken Arrow","Action",6.5e+07,70645997,"",107.028685455,98.475,"FAIL"
8,253754,"After the Enterprise is diverted to the Romulan homeworld Romulus, supposedly because they want to negotiate a peace treaty, the Federation soon find out the Romulans are planning an attack on Earth.","PG-13","True","English","Star Trek: Nemesis","USA","Gene Roddenberry (television series Star Trek), John Logan (story), Rick Berman (story), Brent Spiner (story), John Logan (screenplay)",5.1,6.4,"Stuart Baird","2002-12-13","Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton",2002,"Action, Adventure, Sci-Fi","1 win & 4 nominations.",116,"movie","http://ia.media-imdb.com/images/M/MV5BMjAxNjY2NDY3NF5BMl5BanBnXkFtZTcwMjA0MTEzMw@@._V1_SX300.jpg",46758,NA,12,50,1,1,1,"Star Trek: Nemesis","2002-12-13","Star Trek: Nemesis","Adventure",6e+07,43254409,"",57.1309900375155,79.2487859966121,"FAIL"
9,112573,"When his secret bride is executed for assaulting an English soldier who tried to rape her, a commoner begins a revolt and leads Scottish warriors against the cruel English tyrant who rules Scotland with an iron fist.","R","True","English, French, Latin, Scottish Gaelic","Braveheart","USA","Randall Wallace",6.8,8.4,"Mel Gibson","1995-05-24","James Robinson, Sean Lawlor, Sandy Nelson, James Cosmo",1995,"Action, Biography, Drama","Won 5 Oscars. Another 19 wins & 20 nominations.",177,"movie","http://ia.media-imdb.com/images/M/MV5BNjA4ODYxMDU3Nl5BMl5BanBnXkFtZTcwMzkzMTk3OA@@._V1_SX300.jpg",525145,NA,5,21,0,1,2,"Braveheart","1995-05-24","Braveheart","Drama",7.2e+07,75545647,"",117.57375624519,112.055568862275,"FAIL"
10,424095,"The story of an uptown rat that gets flushed down the toilet from his penthouse apartment, ending in the sewers of London, where he has to learn a whole new and different way of life.","PG","True","English","Flushed Away","UK, USA","Dick Clement (screenplay), Ian La Frenais (screenplay), Christopher Lloyd (screenplay), Joe Keenan (screenplay), William Davies (screenplay), Sam Fell (story), Peter Lord (story), Dick Clement (story), Ian La Frenais (story)",7.4,6.7,"David Bowers, Sam Fell","2006-11-03","Hugh Jackman, Kate Winslet, Ian McKellen, Jean Reno",2006,"Animation, Adventure, Comedy","Nominated for 1 BAFTA Film Award. Another 6 wins & 11 nominations.",85,"movie","http://ia.media-imdb.com/images/M/MV5BMTI1MzE1MDk2N15BMl5BanBnXkFtZTYwMjEwMzI3._V1_SX300.jpg",64285,NA,11,44,1,0,0,"Flushed Away","2006-11-03","Flushed Away","Comedy",1.49e+08,64665672,"",76.2800571434796,175.76139183056,"FAIL"
12,1386703,"A factory worker, Douglas Quaid, begins to suspect that he is a spy after visiting Rekall - a company that provides its clients with implanted fake memories of a life they would like to have led - goes wrong and he finds himself on the run.","PG-13","True","English","Total Recall","USA, Canada","Kurt Wimmer (screenplay), Mark Bomback (screenplay), Ronald Shusett (screen story by), Dan O'Bannon (screen story by), Jon Povill (screen story by), Kurt Wimmer (screen story by), Ronald Shusett (based on the motion picture ""Total Recall"",  screenplay by), Dan O'Bannon (based on the motion picture ""Total Recall"",  screenplay by), Gary Goldman (based on the motion picture ""Total Recall"",  screenplay by), Ronald Shusett (based on the motion picture ""Total Recall"",  screen story by), Dan O'Bannon (based on the motion picture ""Total Recall"",  screen story by), Jon Povill (based on the motion picture ""Total Recall"",  screen story by)",4.3,6.3,"Len Wiseman","2012-08-03","Colin Farrell, Kate Beckinsale, Jessica Biel, Bryan Cranston",2012,"Action, Adventure, Sci-Fi","4 nominations.",118,"movie","http://ia.media-imdb.com/images/M/MV5BMzQ2NzYwOTEzMl5BMl5BanBnXkFtZTcwNjExNTMxOA@@._V1_SX300.jpg",155966,NA,8,31,1,0,1,"Total Recall","2012-08-03","Total Recall","Action",1.25e+08,58877969,"Play",60.7614717605453,128.998742637814,"FAIL"
13,457572,"Timmy Robinson's best friend in the whole wide world is a six-foot tall rotting zombie named Fido. But when FIDO eats the next-door neighbor, Mom and Dad hit the roof, and Timmy has to go ...","R","True","English","Fido","Canada","Robert Chomiak, Andrew Currie, Dennis Heaton, Dennis Heaton (original story)",7,6.8,"Andrew Currie","2007-03-16","David Kaye, Jan Skorzewski, Kevin Tyell, Andy Parkin",2007,"Comedy, Drama, Horror","13 wins & 15 nominations.",93,"movie","http://ia.media-imdb.com/images/M/MV5BMjEzNjQ4OTYxMl5BMl5BanBnXkFtZTcwMjY5MDEwNQ@@._V1_SX300.jpg",21602,NA,3,11,1,0,2,"Fido","2007-06-15","Fido","Horror",8e+06,298110,"",0.34450191071852,9.24496087265829,"FAIL"
14,112579,"Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson, for four days in the 1960s.","PG-13","True","English","The Bridges of Madison County","USA","Richard LaGravenese (screenplay), Robert James Waller (novel)",6.6,7.5,"Clint Eastwood","1995-06-02","Clint Eastwood, Meryl Streep, Annie Corley, Victor Slezak",1995,"Drama, Romance","Nominated for 1 Oscar. Another 7 wins & 10 nominations.",135,"movie","http://ia.media-imdb.com/images/M/MV5BMTI0MDkxMzA2NF5BMl5BanBnXkFtZTYwNjIxMDI5._V1_SX300.jpg",43393,NA,6,22,1,1,3,"Bridges of Madison County, The","1995-06-02","The Bridges of Madison County","Drama",2.2e+07,71516617,"",111.303266681118,34.2392015968064,"PASS"
15,1441326,"Haunted by painful memories and increasing paranoia, a damaged woman struggles to re-assimilate with her family after fleeing an abusive cult.","R","True","English","Martha Marcy May Marlene","USA","Sean Durkin",7.6,7,"Sean Durkin","2011-12-21","Elizabeth Olsen, Christopher Abbott, Brady Corbet, Hugh Dancy",2011,"Drama, Thriller","16 wins & 41 nominations.",102,"movie","http://ia.media-imdb.com/images/M/MV5BMTc1MTYwMzg1N15BMl5BanBnXkFtZTcwNzM0MDY4Ng@@._V1_SX300.jpg",31339,NA,12,51,1,1,3,"Martha Marcy May Marlene","2011-10-21","Martha Marcy May Marlene","Thriller/Suspense",1e+06,2981038,"Play",3.16639263295841,1.06217788332735,"PASS"
21,481141,"The life of a top chef changes when she becomes the guardian of her young niece.","PG","True","English","No Reservations","USA, Australia","Carol Fuchs (screenplay), Sandra Nettelbeck (screenplay)",5,6.3,"Scott Hicks","2007-07-27","Catherine Zeta-Jones, Aaron Eckhart, Abigail Breslin, Patricia Clarkson",2007,"Comedy, Drama, Romance","1 nomination.",104,"movie","http://ia.media-imdb.com/images/M/MV5BMTI1NzQ5MzU1OV5BMl5BanBnXkFtZTcwNzExODU0MQ@@._V1_SX300.jpg",48439,NA,7,30,1,0,3,"No Reservations","2007-07-27","No Reservations","Romantic Comedy",2.8e+07,43107979,"",49.8164473942969,32.357363054304,"PASS"
