Period,Time,Year,Quarter,Revenue
1,2009.5,2009,Q3,12.21
2,2009.75,2009,Q4,15.68
3,2010,2010,Q1,13.5
4,2010.25,2010,Q2,15.7
5,2010.5,2010,Q3,20.34
6,2010.75,2010,Q4,26.74
7,2011,2011,Q1,24.67
8,2011.25,2011,Q2,28.57
9,2011.5,2011,Q3,28.27
10,2011.75,2011,Q4,46.33
11,2012,2012,Q1,39.19
12,2012.25,2012,Q2,35.02
13,2012.5,2012,Q3,35.97
14,2012.75,2012,Q4,54.51
15,2013,2013,Q1,43.6
16,2013.25,2013,Q2,35.32
17,2013.5,2013,Q3,37.47
18,2013.75,2013,Q4,57.59
19,2014,2014,Q1,45.65
20,2014.25,2014,Q2,37.43
21,2014.5,2014,Q3,42.12
22,2014.75,2014,Q4,74.6
23,2015,2015,Q1,58.01
24,2015.25,2015,Q2,49.6
25,2015.5,2015,Q3,51.5
26,2015.75,2015,Q4,75.87
27,2016,2016,Q1,50.56
28,2016.25,2016,Q2,42.36
29,2016.5,2016,Q3,46.85
30,2016.75,2016,Q4,78.35
31,2017,2017,Q1,52.9
32,2017.25,2017,Q2,45.41
33,2017.5,2017,Q3,52.58
34,2017.75,2017,Q4,88.29
35,2018,2018,Q1,61.14
36,2018.25,2018,Q2,53.26
37,2018.5,2018,Q3,62.9
38,2018.75,2018,Q4,84.31
39,2019,2019,Q1,58.02
40,2019.25,2019,Q2,53.81
41,2019.5,2019,Q3,64.04
42,2019.75,2019,Q4,91.82
43,2020,2020,Q1,58.31
44,2020.25,2020,Q2,59.68
45,2020.5,2020,Q3,64.7
46,2020.75,2020,Q4,111.44
47,2021,2021,Q1,89.58
48,2021.25,2021,Q2,81.43
49,2021.5,2021,Q3,83.36
50,2021.75,2021,Q4,123.94
51,2022,2022,Q1,97.28
52,2022.25,2022,Q2,82.96
53,2022.5,2022,Q3,90.15
54,2022.75,2022,Q4,117.15
55,2023,2023,Q1,94.84
56,2023.25,2023,Q2,81.8
