"","id","female","city","age","logins","succession","unsubscribe"
"1",1,1,1,53,10,0,1
"2",2,1,1,48,7,1,0
"3",3,0,1,45,7,1,0
"4",4,1,1,51,5,1,0
"5",5,1,1,45,10,0,0
"6",6,1,0,40,0,1,0
"7",7,0,1,55,8,0,0
"8",8,1,1,43,10,0,0
"9",9,0,1,63,3,1,1
"10",10,1,1,53,4,1,0
"11",11,0,1,52,5,1,0
"12",12,0,1,48,8,0,0
"13",13,1,1,39,8,1,1
"14",14,1,0,44,9,0,0
"15",15,0,1,52,10,0,0
"16",16,0,1,40,0,1,0
"17",17,1,1,60,10,0,0
"18",18,1,1,49,5,1,0
"19",19,1,1,49,3,1,0
"20",20,0,1,40,7,1,0
"21",21,0,1,56,0,1,0
"22",22,0,1,46,10,0,0
"23",23,0,1,43,3,1,0
"24",24,0,1,40,2,1,1
"25",25,1,1,30,7,1,0
"26",26,1,1,54,3,1,0
"27",27,0,1,40,3,1,0
"28",28,0,1,37,10,0,0
"29",29,0,1,36,3,1,0
"30",30,1,1,57,4,1,0
"31",31,1,1,47,9,0,0
"32",32,0,1,46,5,1,0
"33",33,1,0,47,0,1,1
"34",34,0,1,47,3,1,0
"35",35,0,0,52,0,1,1
"36",36,0,1,47,3,1,0
"37",37,1,1,41,0,1,1
"38",38,0,1,51,9,0,0
"39",39,0,1,51,3,1,1
"40",40,1,1,39,5,1,0
"41",41,1,1,44,7,1,0
"42",42,0,1,45,0,1,1
"43",43,0,1,37,8,0,0
"44",44,0,0,37,0,1,1
"45",45,0,1,39,3,1,0
"46",46,1,1,50,4,1,1
"47",47,0,1,38,5,1,0
"48",48,0,1,46,3,1,0
"49",49,1,1,53,5,1,0
"50",50,1,1,51,9,0,1
"51",51,1,1,38,0,1,1
"52",52,1,1,48,3,1,0
"53",53,1,0,55,0,1,0
"54",54,1,1,29,10,0,0
"55",55,0,1,35,3,1,0
"56",56,1,1,52,10,0,0
"57",57,1,1,48,10,0,1
"58",58,1,1,48,5,1,1
"59",59,0,1,49,3,1,1
"60",60,1,1,39,7,1,1
"61",61,1,1,56,3,1,1
"62",62,0,1,50,0,1,1
"63",63,0,1,43,0,1,1
"64",64,0,1,43,5,1,0
"65",65,1,1,48,8,0,0
"66",66,1,1,46,10,0,0
"67",67,1,1,46,7,1,0
"68",68,1,0,43,0,1,0
"69",69,1,1,47,8,1,0
"70",70,0,1,34,10,0,0
"71",71,1,1,51,3,1,1
"72",72,1,1,38,7,1,0
"73",73,0,1,47,9,0,0
"74",74,0,1,41,10,0,0
"75",75,0,1,53,5,1,0
"76",76,0,1,40,5,1,1
"77",77,0,1,36,9,0,0
"78",78,0,1,46,10,0,0
"79",79,0,1,45,4,1,1
"80",80,1,1,36,4,1,1
"81",81,1,1,50,7,1,0
"82",82,0,1,40,4,1,1
"83",83,0,1,40,5,1,0
"84",84,0,1,34,0,1,1
"85",85,1,1,54,3,1,0
"86",86,0,1,43,4,1,0
"87",87,0,1,38,10,0,0
"88",88,1,1,40,9,0,0
"89",89,1,0,41,5,0,0
"90",90,0,0,53,8,0,0
