"read","cohort.size","class.size","class_split"
66,32,32,"No"
62.2900009155273,32,32,"No"
83.5,32,32,"No"
82.5899963378906,32,32,"No"
75.6999969482422,32,32,"No"
85.2300033569336,32,32,"No"
77.0999984741211,32,32,"No"
75.629997253418,32,32,"No"
73.9700012207031,32,32,"No"
84,33,33,"No"
76.370002746582,33,33,"No"
74.1399993896484,33,33,"No"
64.4400024414062,33,33,"No"
76.1600036621094,33,33,"No"
65.75,33,33,"No"
86.4800033569336,33,33,"No"
79.3899993896484,33,33,"No"
64,33,33,"No"
79.7900009155273,34,34,"No"
65.2200012207031,34,34,"No"
82.6900024414062,34,34,"No"
80,34,34,"No"
71.6500015258789,34,34,"No"
68.0299987792969,34,34,"No"
71.8199996948242,34,34,"No"
54,34,34,"No"
65,34,34,"No"
69.7600021362305,34,34,"No"
76.4499969482422,34,34,"No"
58.8400001525879,34,34,"No"
60.560001373291,35,35,"No"
68,35,35,"No"
84,35,35,"No"
65,35,35,"No"
52,35,35,"No"
74.7200012207031,35,35,"No"
73,35,35,"No"
74.2600021362305,35,35,"No"
78.3099975585938,35,35,"No"
78.0699996948242,35,35,"No"
72.2099990844727,35,35,"No"
51,36,36,"No"
83.3199996948242,36,36,"No"
64.5699996948242,36,36,"No"
85.0500030517578,36,36,"No"
64.1100006103516,36,36,"No"
54.0699996948242,36,36,"No"
77.6600036621094,36,36,"No"
58.0699996948242,36,36,"No"
67.8899993896484,36,36,"No"
71.7799987792969,37,37,"No"
75.4700012207031,37,37,"No"
78.379997253418,37,37,"No"
73.1800003051758,37,37,"No"
54.6699981689453,37,37,"No"
63.998420715332,37,37,"No"
63.6500015258789,37,37,"No"
60.6474990844727,37,37,"No"
78.6900024414062,37,37,"No"
70.1100006103516,38,38,"No"
66.8300018310547,38,38,"No"
75.3399963378906,38,38,"No"
56.560001373291,38,38,"No"
64.8499984741211,38,38,"No"
73.8899993896484,38,38,"No"
71,38,38,"No"
83.6500015258789,38,38,"No"
34.7999992370605,38,38,"No"
81.5100021362305,38,38,"No"
46.6699981689453,39,39,"No"
68.9400024414062,39,39,"No"
74.0800018310547,39,39,"No"
73.1100006103516,39,39,"No"
76.0899963378906,39,39,"No"
73.7099990844727,39,39,"No"
79.6399993896484,39,39,"No"
69.8899993896484,39,39,"No"
79.3899993896484,39,39,"No"
47.1800003051758,39,39,"No"
73.1461868286133,40,40,"No"
60.1800003051758,40,40,"No"
52.7700004577637,40,40,"No"
75.1999969482422,40,40,"No"
73.1500015258789,40,40,"No"
66.5999984741211,40,40,"No"
65.0500030517578,40,40,"No"
77.2900009155273,40,40,"No"
67.9700012207031,40,40,"No"
69.4100036621094,41,20.5,"Yes"
80.5299987792969,41,20.5,"Yes"
55.3199996948242,41,20.5,"Yes"
62.6800003051758,41,20.5,"Yes"
67.0454559326172,41,20.5,"Yes"
84.5699996948242,41,20.5,"Yes"
89.2699966430664,41,20.5,"Yes"
78.7200012207031,41,20.5,"Yes"
70.6999969482422,41,20.5,"Yes"
79.1800003051758,41,20.5,"Yes"
73.2900009155273,41,20.5,"Yes"
73.1100006103516,41,20.5,"Yes"
83.6100006103516,41,20.5,"Yes"
79.4700012207031,41,20.5,"Yes"
68.8499984741211,41,20.5,"Yes"
69.0500030517578,41,20.5,"Yes"
79.8300018310547,41,20.5,"Yes"
60.6699981689453,41,20.5,"Yes"
75.4300003051758,41,20.5,"Yes"
72.1520004272461,41,20.5,"Yes"
58.060001373291,41,20.5,"Yes"
82.0500030517578,41,20.5,"Yes"
85,41,20.5,"Yes"
70.1500015258789,41,20.5,"Yes"
77.8199996948242,41,20.5,"Yes"
62.2200012207031,41,20.5,"Yes"
71.8399963378906,41,20.5,"Yes"
82.9199981689453,41,20.5,"Yes"
79.0979995727539,42,21,"Yes"
82,42,21,"Yes"
63.8421058654785,42,21,"Yes"
78.3000030517578,42,21,"Yes"
66.7600021362305,42,21,"Yes"
74.5699996948242,42,21,"Yes"
68,42,21,"Yes"
76.7799987792969,42,21,"Yes"
64.1500015258789,42,21,"Yes"
71.5299987792969,42,21,"Yes"
75.7600021362305,42,21,"Yes"
52.7200012207031,42,21,"Yes"
69.629997253418,42,21,"Yes"
69.2799987792969,42,21,"Yes"
64.7200012207031,42,21,"Yes"
69.0599975585938,42,21,"Yes"
65.5999984741211,42,21,"Yes"
68.7900009155273,42,21,"Yes"
44.4500007629395,42,21,"Yes"
70.6100006103516,42,21,"Yes"
58.0299987792969,42,21,"Yes"
46.2400016784668,42,21,"Yes"
71,42,21,"Yes"
65.9100036621094,42,21,"Yes"
73.0599975585938,42,21,"Yes"
71.2470016479492,43,21.5,"Yes"
72.3899993896484,43,21.5,"Yes"
79.9000015258789,43,21.5,"Yes"
64.2600021362305,43,21.5,"Yes"
76.6500015258789,43,21.5,"Yes"
66.2352905273438,43,21.5,"Yes"
77.4199981689453,43,21.5,"Yes"
77,43,21.5,"Yes"
79.8399963378906,43,21.5,"Yes"
84.5599975585938,43,21.5,"Yes"
89.6100006103516,43,21.5,"Yes"
86.2900009155273,43,21.5,"Yes"
80.4300003051758,43,21.5,"Yes"
70.7399978637695,43,21.5,"Yes"
85.8099975585938,43,21.5,"Yes"
67.6500015258789,43,21.5,"Yes"
78.5800018310547,43,21.5,"Yes"
80.6900024414062,43,21.5,"Yes"
61.7000007629395,43,21.5,"Yes"
88.379997253418,43,21.5,"Yes"
81.4400024414062,43,21.5,"Yes"
74.0022201538086,43,21.5,"Yes"
78.0599975585938,43,21.5,"Yes"
79.3499984741211,43,21.5,"Yes"
72.2399978637695,44,22,"Yes"
75.3519973754883,44,22,"Yes"
80.5699996948242,44,22,"Yes"
80.3199996948242,44,22,"Yes"
71.6861572265625,44,22,"Yes"
60.9500007629395,44,22,"Yes"
58.810001373291,44,22,"Yes"
71.8000030517578,44,22,"Yes"
81.7399978637695,44,22,"Yes"
75.9990463256836,44,22,"Yes"
59.3300018310547,44,22,"Yes"
75.7600021362305,44,22,"Yes"
69.4499969482422,44,22,"Yes"
64.2900009155273,44,22,"Yes"
75.1900024414062,44,22,"Yes"
69.6500015258789,44,22,"Yes"
83.6100006103516,44,22,"Yes"
62.4300003051758,45,22.5,"Yes"
77.8600006103516,45,22.5,"Yes"
69.5199966430664,45,22.5,"Yes"
81.5500030517578,45,22.5,"Yes"
83,45,22.5,"Yes"
61.8300018310547,45,22.5,"Yes"
67.7699966430664,45,22.5,"Yes"
85.0899963378906,45,22.5,"Yes"
80.620002746582,45,22.5,"Yes"
82.1600036621094,45,22.5,"Yes"
80.379997253418,45,22.5,"Yes"
82.3600006103516,45,22.5,"Yes"
83.6699981689453,45,22.5,"Yes"
71,45,22.5,"Yes"
78.25,45,22.5,"Yes"
90.4300003051758,45,22.5,"Yes"
61.3800010681152,45,22.5,"Yes"
85.5,45,22.5,"Yes"
76.620002746582,45,22.5,"Yes"
74.9020004272461,46,23,"Yes"
76.8899993896484,46,23,"Yes"
79.3899993896484,46,23,"Yes"
79.7699966430664,46,23,"Yes"
82.7633361816406,46,23,"Yes"
75.8600006103516,46,23,"Yes"
54.6500015258789,46,23,"Yes"
81.8600006103516,46,23,"Yes"
79.2399978637695,46,23,"Yes"
68.0999984741211,46,23,"Yes"
63.997501373291,46,23,"Yes"
61.6399993896484,46,23,"Yes"
73.75,46,23,"Yes"
62,46,23,"Yes"
84.3300018310547,46,23,"Yes"
65.6900024414062,46,23,"Yes"
68.6699981689453,46,23,"Yes"
53.189998626709,46,23,"Yes"
59.5900001525879,46,23,"Yes"
59.8800010681152,46,23,"Yes"
84.4300003051758,47,23.5,"Yes"
80.2399978637695,47,23.5,"Yes"
79.9000015258789,47,23.5,"Yes"
71.6100006103516,47,23.5,"Yes"
79.5,47,23.5,"Yes"
83.9100036621094,47,23.5,"Yes"
82.8600006103516,47,23.5,"Yes"
67,47,23.5,"Yes"
68.4100036621094,47,23.5,"Yes"
80.0999984741211,47,23.5,"Yes"
81.5,47,23.5,"Yes"
46.7700004577637,47,23.5,"Yes"
78.5400009155273,47,23.5,"Yes"
66.4300003051758,47,23.5,"Yes"
70.5,47,23.5,"Yes"
78,47,23.5,"Yes"
72.1999969482422,47,23.5,"Yes"
65.8600006103516,47,23.5,"Yes"
66.4800033569336,47,23.5,"Yes"
75.0400009155273,47,23.5,"Yes"
67.5800018310547,47,23.5,"Yes"
80.5199966430664,47,23.5,"Yes"
83.6500015258789,47,23.5,"Yes"
70.7936859130859,47,23.5,"Yes"
66.5899963378906,47,23.5,"Yes"
54,47,23.5,"Yes"
73.4100036621094,47,23.5,"Yes"
69.1800003051758,47,23.5,"Yes"
67.3499984741211,47,23.5,"Yes"
77.1999969482422,47,23.5,"Yes"
58.7099990844727,48,24,"Yes"
84.7099990844727,48,24,"Yes"
77.629997253418,48,24,"Yes"
78.5699996948242,48,24,"Yes"
76.7699966430664,48,24,"Yes"
67.3300018310547,48,24,"Yes"
83.3099975585938,48,24,"Yes"
76.5,48,24,"Yes"
75,48,24,"Yes"
81.0999984741211,48,24,"Yes"
64.9095687866211,48,24,"Yes"
80.9599990844727,48,24,"Yes"
86.4300003051758,48,24,"Yes"
85.3663177490234,48,24,"Yes"
64.8300018310547,48,24,"Yes"
66.6999969482422,48,24,"Yes"
65.4300003051758,48,24,"Yes"
68,48,24,"Yes"
57.1704177856445,48,24,"Yes"
73.1699981689453,48,24,"Yes"
70.0400009155273,48,24,"Yes"
66.8499984741211,48,24,"Yes"
79,48,24,"Yes"
73.3300018310547,48,24,"Yes"
79.0400009155273,48,24,"Yes"
67.1399993896484,48,24,"Yes"
67.1699981689453,49,24.5,"Yes"
70.7900009155273,49,24.5,"Yes"
71.9599990844727,49,24.5,"Yes"
78.9599990844727,49,24.5,"Yes"
76.1800003051758,49,24.5,"Yes"
79.3000030517578,49,24.5,"Yes"
77.2600021362305,49,24.5,"Yes"
75,49,24.5,"Yes"
79.4800033569336,49,24.5,"Yes"
76.6500015258789,49,24.5,"Yes"
76.129997253418,49,24.5,"Yes"
71.4382629394531,49,24.5,"Yes"
71.8308334350586,49,24.5,"Yes"
62.3600006103516,49,24.5,"Yes"
87.870002746582,49,24.5,"Yes"
73.4400024414062,49,24.5,"Yes"
77.3000030517578,49,24.5,"Yes"
83.3600006103516,49,24.5,"Yes"
64.6999969482422,49,24.5,"Yes"
74.2200012207031,49,24.5,"Yes"
