Period,Time,Year,Quarter,Revenue
1,2011.75,2011,Q4,28.27
2,2012,2012,Q1,46.33
3,2012.25,2012,Q2,39.19
4,2012.5,2012,Q3,35.02
5,2012.75,2012,Q4,35.97
6,2013,2013,Q1,54.51
7,2013.25,2013,Q2,43.6
8,2013.5,2013,Q3,35.32
9,2013.75,2013,Q4,37.47
10,2014,2014,Q1,57.59
11,2014.25,2014,Q2,45.65
12,2014.5,2014,Q3,37.43
13,2014.75,2014,Q4,42.12
14,2015,2015,Q1,74.6
15,2015.25,2015,Q2,58.01
16,2015.5,2015,Q3,49.6
17,2015.75,2015,Q4,51.5
18,2016,2016,Q1,75.87
19,2016.25,2016,Q2,50.56
20,2016.5,2016,Q3,42.36
21,2016.75,2016,Q4,46.85
22,2017,2017,Q1,78.35
23,2017.25,2017,Q2,52.9
24,2017.5,2017,Q3,45.41
25,2017.75,2017,Q4,52.58
26,2018,2018,Q1,88.29
27,2018.25,2018,Q2,61.14
28,2018.5,2018,Q3,53.26
29,2018.75,2018,Q4,62.9
30,2019,2019,Q1,84.31
31,2019.25,2019,Q2,58.02
32,2019.5,2019,Q3,53.81
33,2019.75,2019,Q4,64.04
34,2020,2020,Q1,91.82
35,2020.25,2020,Q2,58.31
36,2020.5,2020,Q3,59.68
37,2020.75,2020,Q4,64.7
38,2021,2021,Q1,111.44
39,2021.25,2021,Q2,89.58
40,2021.5,2021,Q3,81.43
41,2021.75,2021,Q4,83.36
42,2022,2022,Q1,123.94
43,2022.25,2022,Q2,97.28
44,2022.5,2022,Q3,82.96
45,2022.75,2022,Q4,90.15
46,2023,2023,Q1,117.15
47,2023.25,2023,Q2,94.84
48,2023.5,2023,Q3,81.8
49,2023.75,2023,Q4,89.5
50,2024,2024,Q1,119.58
51,2024.25,2024,Q2,90.75
52,2024.50,2024,Q3,85.8
53,2024.75,2024,Q4,94.9
54,2025,2025,Q1,124.3
55,2025.25,2025,Q2,95.4
