"total_sleep_time","cumulative_gpa","term_gpa","race","gender","firstgen","study"
7.20333333333333,3,3.38,1,1,0,5
6.53218390833333,3.66,2.6,0,1,0,5
5.73840579666667,3.57,3.07,1,1,0,5
6.54367816166667,3.61,3.56,0,1,1,5
7.05701754333333,3.21,4,1,1,0,5
6.62333333333333,3.2,3.36,1,1,0,5
5.80987654333333,3.4,3.19,1,1,0,5
7.035185185,3.86,3.28,1,1,0,5
7.57202381,3.79,3.5,1,0,0,5
5.14942528666667,3.53,2.55,1,1,0,5
5.24310344833333,3.61,3.49,1,1,0,5
6.369871795,3.82,3.76,1,1,0,5
6.49540229833333,3.33,3.74,1,1,0,5
6.09540229833333,4,4,1,0,0,5
6,3.16,3.56,1,1,1,5
6.11264367833333,3,3.2,1,0,1,5
4.868390805,3.77,2.78,1,1,0,5
7.43550724666667,3.71,2.83,0,1,0,5
6.195454545,3.82,3.78,1,0,0,5
7.32586206833333,3.1,3.3,1,1,1,5
5.98620689666667,4,3.44,1,1,0,5
6.41379310333333,3.17,3.05,1,1,0,5
6.20416666666667,4,3.82,1,1,0,5
6.706944445,3.47,3,1,1,0,5
6.01436781666667,3.62,3.81,1,1,0,5
7.38563218333333,2.91,2.61,1,0,0,5
6.26333333333333,3.79,3.17,1,0,0,5
5.59927536166667,1.57,2.67,1,0,0,5
6.12407407333333,3.5,3.4,1,NA,0,5
6.80192307666667,4,4,1,1,0,5
6.187931035,3.3,2.94,0,1,0,5
5.00625,3.28,1.7,0,1,0,5
6.21954023,4,3.81,1,0,0,5
7.16436781666667,3.52,3.46,0,0,0,5
6.522,3.29,3.51,1,0,0,5
6.09861111166667,3.72,3.81,0,0,0,5
5.70757575833333,3.76,3.8,1,0,0,5
4.89137931,4,3.77,1,0,0,5
6.85517241333333,4,3.4,1,1,0,5
7.965384615,3.48,3.83,1,1,0,5
7.46091954,3.07,2.43,1,1,0,5
7.404761905,3.71,3.79,0,1,0,5
7.38965517166667,3.8,4,1,1,0,5
6.684615385,3.74,3.39,1,1,0,5
6.87559523833333,3.76,3.55,1,0,0,5
7.36818181833333,3.46,3.5,1,0,0,5
6.77533333333333,3.72,3.06,1,1,0,5
7.43205128166667,4,4,1,1,0,5
6.77126436833333,3.23,3.59,1,1,0,5
7.025,3.2,1.69,1,1,0,5
6.04901960833333,2.62,2.46,1,1,0,5
6.03988095166667,3,3.41,1,1,0,5
7.33103448333333,3.46,4,1,0,0,5
6.32471264333333,4,3.56,1,1,0,5
6.29722222166667,4,4,1,1,0,5
7.07873563166667,3.79,4,1,1,0,5
7.22173913,1.21,2.32,1,1,0,5
6.37440476166667,2.65,3.53,0,0,0,5
6.65784313666667,1.94,1.79,0,0,0,5
5.99166666666667,3.4,3.69,1,1,1,5
5.05705128166667,1.91,2.98,0,0,1,5
6.29275362333333,3.21,3.3,1,1,0,5
6.66975308666667,2.93,3.06,1,1,0,5
6.55869565166667,3.81,3.6,1,1,0,5
7.17916666666667,3.44,3.61,1,1,0,5
6.63141025666667,4,4,1,1,0,5
6.63939394,3.98,4,1,0,0,5
7.607738095,3.79,3.18,1,0,0,5
6.55964912333333,2.15,2.76,0,0,0,5
6.67857142833333,2.76,3.23,0,0,0,5
7.04712643666667,3.09,2.6,1,1,0,5
6.974,2.5,2.33,1,1,0,5
7.95714285666667,4,4,1,1,0,5
7.36845238166667,4,4,1,1,0,5
4.44722222166667,2.98,3.56,1,1,0,5
6.02380952333333,3.52,3.26,1,1,0,5
5.50804597666667,3.56,2.98,1,1,0,5
6.48974359,2.82,3.2,1,0,0,5
7.426785715,3.8,4,1,0,0,5
6.58111111166667,4,4,1,0,0,5
6.46547619,3.26,3.04,1,0,0,5
6.912,3.77,3.25,1,0,0,5
5.12243589666667,3.4,3.6,1,0,0,5
7.29367816166667,3.41,3.19,1,0,0,5
6.56904761833333,3.61,3.38,1,0,0,5
6.64166666666667,3.35,3.38,0,0,0,5
5.0625,3.22,1.38,1,0,0,5
7.73188405833333,3.71,3.77,1,1,0,5
5.88020833333333,2.33,3.5,1,1,0,5
6.175396825,3.76,3.38,1,0,0,5
6.30416666666667,3.21,2.49,1,1,0,5
6.02456140333333,3.74,3.48,1,1,0,5
7.42643678166667,3.74,3.74,1,1,0,5
7.168055555,3.79,3.41,1,0,0,5
6.30128205166667,3.29,2.47,1,1,1,5
6.48030303,3.21,2.6,1,1,1,5
6.47738095166667,3.29,2.87,1,1,1,5
7.31049382666667,2.57,2.4,0,0,1,5
5.41049382666667,2,2.8,1,1,0,5
5.00632183833333,1.95,3,0,1,0,5
6.12986111166667,3,3.75,1,1,0,5
6.01149425333333,3.07,2.4,0,1,0,5
6.38866666666667,3,3.6,1,1,0,5
6.64876543166667,3.39,3.6,1,1,0,5
7.67530864166667,3.57,2.6,1,1,0,5
5.82254902,3.39,3.8,1,1,0,5
5.44166666666667,3.25,3.4,1,1,0,5
6.66488095166667,2.67,3.13,1,1,0,5
6.01014492833333,3.79,4,1,1,0,5
7.187931035,3.05,2.73,1,0,0,5
6.86439394,2.91,3.4,1,0,0,5
7.03154761833333,2.9,3.36,1,0,0,5
7.76547619,2.84,3.12,1,0,0,5
6.710869565,2.49,2.77,1,0,0,5
6.17413793166667,3.8,3.22,0,0,0,5
5.638194445,3.43,3.21,1,1,1,5
7.14382716,2.44,3.07,0,0,1,5
7.757471265,2.7,1.97,0,1,0,5
6.901149425,3.23,3.49,1,1,0,5
5.76488095166667,4,4,1,0,0,5
6.88965517166667,2.96,3.28,1,1,0,5
6.89367816166667,3.49,3.54,1,0,0,5
6.94540229833333,2.93,3.57,1,0,0,5
5.86049382666667,3.5,3.51,1,1,0,5
7.41521739166667,4,4,0,0,0,5
6.25133333333333,3.47,3.29,1,0,0,5
5.59761904833333,3.27,3.03,1,1,0,5
6.53735632166667,4,4,1,0,0,5
5.95057471333333,2,1.5,0,0,0,5
5.80138888833333,2.6,3.08,1,0,0,5
6.71607142833333,3.552758621,3.27,1,0,2,3
6.78141025666667,3.426666267,3.476923,1,1,1,2
6.854444445,3.265517103,3.1,1,1,1,2
6.75357142833333,3.17999955,3.5,1,1,1,2
6.60833333333333,2.566666,2.992307,1,1,1,2
6.48333333333333,3.740740481,3.478571,1,1,1,2
7.23333333333333,3.6999995,3.192857,1,1,1,2
7.09107142833333,3.799999864,3.95,1,1,1,2
6.58154761833333,3.6999995,3.866666,1,1,1,2
7.825,3.126470529,2.728571,0,1,1,2
6.87592592666667,3.599999619,3.435714,1,1,1,2
6.80925926,3.499999667,3.466666,1,1,1,2
7.16728395,3.65,3.527777,1,1,1,2
6.64166666666667,3.796551103,3.666666,1,1,1,2
6.292261905,3.78399956,3.753846,1,1,1,2
